procedure,stop_order,waypoint
ANDONG Arrival,1,ANDONG
ANDONG Arrival,2,SAMKI
ANDONG Arrival,3,BAVIK
ANDONG Arrival,4,IAF2
ANDONG Arrival,5,IF
ANDONG Arrival,6,PUD
DUMET Arrival,1,DUMET
DUMET Arrival,2,BEKOK
DUMET Arrival,3,PD2
DUMET Arrival,4,IAF3
DUMET Arrival,5,APP3
DUMET Arrival,6,APP4
DUMET Arrival,7,IF
DUMET Arrival,8,PUD
LISHE Arrival,1,LISHE
LISHE Arrival,2,SAMKI
LISHE Arrival,3,BAVIK
LISHE Arrival,4,IAF2
LISHE Arrival,5,IF
LISHE Arrival,6,PUD
MATNU Arrival,1,MATNU
MATNU Arrival,2,PD228
MATNU Arrival,3,BEKOK
MATNU Arrival,4,PD2
MATNU Arrival,5,IAF3
MATNU Arrival,6,APP3
MATNU Arrival,7,APP4
MATNU Arrival,8,IF
MATNU Arrival,9,PUD
SASAN Arrival,1,SASAN
SASAN Arrival,2,EKIMU
SASAN Arrival,3,PD1
SASAN Arrival,4,JIUTING
SASAN Arrival,5,IAF1
SASAN Arrival,6,APP1
SASAN Arrival,7,APP2
SASAN Arrival,8,IF
SASAN Arrival,9,PUD
