waypoint,latitude_deg,longitude_deg,altitude_m,used_by_procedures
ANDONG,30.256667,121.221667,5700,ANDONG Arrival
APP1,30.975225,121.710036,1800,SASAN Arrival
APP2,30.830216,121.745868,1200,SASAN Arrival
APP3,31.023674,122.001375,1200,DUMET Arrival; MATNU Arrival
APP4,30.907234,121.960883,1200,DUMET Arrival; MATNU Arrival
BAVIK,30.366667,121.631667,,ANDONG Arrival; LISHE Arrival
BEKOK,31.450000,122.450000,,DUMET Arrival; MATNU Arrival
DUMET,31.357778,122.775000,4800,DUMET Arrival
EKIMU,31.351667,121.110000,,SASAN Arrival
IAF1,31.130000,121.671667,2400,SASAN Arrival
IAF2,30.510398,121.778128,2700,ANDONG Arrival; LISHE Arrival
IAF3,31.096335,122.102792,1500,DUMET Arrival; MATNU Arrival
IF,30.931667,121.873333,900,ANDONG Arrival; DUMET Arrival; LISHE Arrival; MATNU Arrival; SASAN Arrival
JIUTING,31.123333,121.341667,3900,SASAN Arrival
LISHE,29.895000,121.333333,6000,LISHE Arrival
MATNU,31.660000,122.633333,5100,MATNU Arrival
PD1,31.155342,121.174401,2400,SASAN Arrival
PD2,31.229196,122.269645,,DUMET Arrival; MATNU Arrival
PD228,31.548333,122.686667,,MATNU Arrival
PUD,31.171667,121.783333,0,ANDONG Arrival; DUMET Arrival; LISHE Arrival; MATNU Arrival; SASAN Arrival
SAMKI,30.253333,121.558333,5700,ANDONG Arrival; LISHE Arrival
SASAN,31.589444,120.319444,6000,SASAN Arrival
HSH,31.368333,121.846667,,
