seed,F_best,best_topology,N_exposed,L_total,R_N,R_L,n_accepted,cum_acceptance,n_worse_accepted,cum_worse_acceptance,last_improve_gen,gen_to_1pct,runtime_s,success,init_valid
0,0.621631,"((1,2),(3,(4,5)))",1804108.0,788.4,70.76,4.91,52,0.346667,19,0.126667,97,37,478.7,True,True
1,0.626922,"((1,2),(3,(4,5)))",1758341.0,803.4,71.50,3.11,65,0.433333,22,0.146667,128,113,468.3,True,True
2,0.625767,"((1,2),(3,(4,5)))",1802297.0,795.5,70.79,4.06,59,0.393333,22,0.146667,137,98,508.0,True,True
3,0.620864,"((1,2),(3,(4,5)))",1841474.0,782.2,70.15,5.67,55,0.366667,20,0.133333,129,47,429.5,True,True
4,0.623876,"((1,2),((3,4),5))",1768797.0,796.9,71.33,3.89,41,0.273333,11,0.073333,147,84,527.3,True,True
5,0.625807,"((1,2),(3,(4,5)))",1766536.0,800.4,71.37,3.47,23,0.153333,4,0.026667,144,137,638.4,True,True
6,0.619588,"((1,2),(3,(4,5)))",1817546.0,783.3,70.54,5.54,42,0.280000,11,0.073333,149,91,566.8,True,True
7,0.623726,"((1,2),(3,(4,5)))",1797013.0,792.9,70.87,4.38,54,0.360000,17,0.113333,150,113,596.3,True,True
8,0.624507,"((1,2),((3,4),5))",1770334.0,797.8,71.31,3.79,40,0.266667,13,0.086667,148,96,556.2,True,True
9,0.636695,"((1,2),(3,(4,5)))",1489958.0,855.6,75.85,-3.19,61,0.406667,22,0.146667,133,92,335.8,True,True
10,0.622665,"((1,2),((3,4),5))",1776133.0,793.9,71.21,4.25,57,0.380000,21,0.140000,147,62,384.0,True,True
11,0.623540,"((1,2),((3,4),5))",1781588.0,794.6,71.12,4.17,45,0.300000,16,0.106667,143,77,500.1,True,True
12,0.620904,"((1,2),(3,(4,5)))",1810766.0,786.3,70.65,5.17,44,0.293333,16,0.106667,144,55,395.7,True,True
13,0.624676,"((1,2),((3,4),5))",1778376.0,797.0,71.18,3.89,52,0.346667,14,0.093333,128,84,495.9,True,True
14,0.622086,"((1,2),(3,(4,5)))",1773341.0,793.3,71.26,4.33,57,0.380000,19,0.126667,132,55,410.7,True,True
15,0.620187,"((1,2),(3,(4,5)))",1763979.0,791.4,71.41,4.55,48,0.320000,14,0.093333,144,83,449.0,True,True
16,0.618578,"((1,2),(3,(4,5)))",1805312.0,783.2,70.74,5.55,51,0.340000,18,0.120000,147,72,524.6,True,True
17,0.638550,"((1,2),(3,(4,5)))",1464428.0,862.2,76.26,-3.97,64,0.426667,18,0.120000,150,82,333.8,True,True
18,0.619548,"((1,2),(3,(4,5)))",1784212.0,787.7,71.08,5.01,59,0.393333,16,0.106667,123,14,460.3,True,True
19,0.619728,"((1,2),(3,(4,5)))",1791534.0,787.0,70.96,5.09,51,0.340000,17,0.113333,141,74,501.2,True,True
20,0.624498,"((1,2),(3,(4,5)))",1806095.0,792.9,70.73,4.37,54,0.360000,18,0.120000,150,140,647.1,True,True
21,0.655330,"((1,(2,3)),(4,5))",1798516.0,845.1,70.85,-1.92,45,0.300000,13,0.086667,142,142,402.4,True,True
22,0.658336,"(1,((2,3),(4,5)))",1739781.0,858.0,71.80,-3.47,43,0.286667,12,0.080000,122,0,643.5,True,True
23,0.620122,"((1,2),(3,(4,5)))",1769012.0,790.7,71.33,4.65,62,0.413333,14,0.093333,149,81,531.2,True,True
24,0.718986,"(1,((2,(3,4)),5))",1940047.0,931.6,68.56,-12.35,27,0.180000,11,0.073333,100,100,572.4,True,True
25,0.619317,"((1,2),(3,(4,5)))",1780240.0,787.8,71.15,4.99,56,0.373333,16,0.106667,139,98,567.2,True,True
26,0.650666,"((1,(2,3)),(4,5))",1800369.0,837.1,70.82,-0.95,49,0.326667,14,0.093333,135,94,391.7,True,True
27,0.619711,"((1,2),(3,(4,5)))",1782631.0,788.1,71.11,4.95,45,0.300000,8,0.053333,139,78,545.0,True,True
28,0.619513,"((1,2),(3,(4,5)))",1776541.0,788.6,71.21,4.89,59,0.393333,22,0.146667,139,60,449.2,True,True
29,0.628271,"((1,2),((3,4),5))",1832637.0,795.6,70.30,4.05,57,0.380000,18,0.120000,138,87,364.6,True,True
