seed,gen,T,F_current,F_best,n_accepted,n_worse_accepted,cum_acceptance,cum_worse_acceptance,best_topology
0,0,0.50000000,0.661798,0.661798,0,0,0.000000,0.000000,"((1,2),(3,(4,5)))"
0,1,0.50000000,0.629034,0.629034,1,0,1.000000,0.000000,"((1,2),(3,(4,5)))"
0,2,0.45000000,0.629246,0.629034,2,1,1.000000,0.500000,"((1,2),(3,(4,5)))"
0,3,0.40500000,0.630666,0.629034,3,2,1.000000,0.666667,"((1,2),(3,(4,5)))"
0,4,0.36450000,0.632654,0.629034,4,3,1.000000,0.750000,"((1,2),(3,(4,5)))"
0,5,0.32805000,0.635294,0.629034,5,4,1.000000,0.800000,"((1,2),(3,(4,5)))"
0,6,0.29524500,0.654105,0.629034,6,5,1.000000,0.833333,"((1,2),(3,(4,5)))"
0,7,0.26572050,0.653411,0.629034,7,5,1.000000,0.714286,"((1,2),(3,(4,5)))"
0,8,0.23914845,0.649866,0.629034,8,5,1.000000,0.625000,"((1,2),(3,(4,5)))"
0,9,0.21523361,0.654075,0.629034,9,6,1.000000,0.666667,"((1,2),(3,(4,5)))"
0,10,0.19371024,0.654075,0.629034,9,6,0.900000,0.600000,"((1,2),(3,(4,5)))"
0,11,0.17433922,0.654075,0.629034,9,6,0.818182,0.545455,"((1,2),(3,(4,5)))"
0,12,0.15690530,0.651876,0.629034,10,6,0.833333,0.500000,"((1,2),(3,(4,5)))"
0,13,0.14121477,0.651876,0.629034,10,6,0.769231,0.461538,"((1,2),(3,(4,5)))"
0,14,0.12709329,0.652640,0.629034,11,7,0.785714,0.500000,"((1,2),(3,(4,5)))"
0,15,0.11438396,0.652640,0.629034,11,7,0.733333,0.466667,"((1,2),(3,(4,5)))"
0,16,0.10294557,0.651184,0.629034,12,7,0.750000,0.437500,"((1,2),(3,(4,5)))"
0,17,0.09265101,0.652515,0.629034,13,8,0.764706,0.470588,"((1,2),(3,(4,5)))"
0,18,0.08338591,0.652244,0.629034,14,8,0.777778,0.444444,"((1,2),(3,(4,5)))"
0,19,0.07504732,0.651766,0.629034,15,8,0.789474,0.421053,"((1,2),(3,(4,5)))"
0,20,0.06754259,0.652964,0.629034,16,9,0.800000,0.450000,"((1,2),(3,(4,5)))"
0,21,0.06078833,0.652964,0.629034,16,9,0.761905,0.428571,"((1,2),(3,(4,5)))"
0,22,0.05470949,0.653574,0.629034,17,10,0.772727,0.454545,"((1,2),(3,(4,5)))"
0,23,0.04923855,0.653574,0.629034,17,10,0.739130,0.434783,"((1,2),(3,(4,5)))"
0,24,0.04431469,0.653574,0.629034,17,10,0.708333,0.416667,"((1,2),(3,(4,5)))"
0,25,0.03988322,0.653399,0.629034,18,10,0.720000,0.400000,"((1,2),(3,(4,5)))"
0,26,0.03589490,0.663724,0.629034,19,11,0.730769,0.423077,"((1,2),(3,(4,5)))"
0,27,0.03230541,0.663724,0.629034,20,11,0.740741,0.407407,"((1,2),(3,(4,5)))"
0,28,0.02907487,0.667208,0.629034,21,12,0.750000,0.428571,"((1,2),(3,(4,5)))"
0,29,0.02616738,0.651123,0.629034,22,12,0.758621,0.413793,"((1,2),(3,(4,5)))"
0,30,0.02355064,0.647312,0.629034,23,12,0.766667,0.400000,"((1,2),(3,(4,5)))"
0,31,0.02119558,0.647312,0.629034,23,12,0.741935,0.387097,"((1,2),(3,(4,5)))"
0,32,0.01907602,0.648272,0.629034,24,13,0.750000,0.406250,"((1,2),(3,(4,5)))"
0,33,0.01716842,0.646782,0.629034,25,13,0.757576,0.393939,"((1,2),(3,(4,5)))"
0,34,0.01545158,0.646782,0.629034,25,13,0.735294,0.382353,"((1,2),(3,(4,5)))"
0,35,0.01390642,0.638003,0.629034,26,13,0.742857,0.371429,"((1,2),(3,(4,5)))"
0,36,0.01251578,0.638015,0.629034,27,14,0.750000,0.388889,"((1,2),(3,(4,5)))"
0,37,0.01126420,0.626774,0.626774,28,14,0.756757,0.378378,"((1,2),(3,(4,5)))"
0,38,0.01013778,0.626774,0.626774,29,14,0.763158,0.368421,"((1,2),(3,(4,5)))"
0,39,0.00912400,0.626774,0.626774,29,14,0.743590,0.358974,"((1,2),(3,(4,5)))"
0,40,0.00821160,0.626774,0.626774,29,14,0.725000,0.350000,"((1,2),(3,(4,5)))"
0,41,0.00739044,0.626774,0.626774,29,14,0.707317,0.341463,"((1,2),(3,(4,5)))"
