cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,5,0.943514,2104777,782.36,"((1,2),((3,4),5))",417.4,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,1,0.938260,2474077,778.01,"((1,2),((3,4),5))",452.0,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,4,0.943318,2131146,782.20,"((1,2),((3,4),5))",474.3,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,9,0.942622,2121373,781.62,"((1,2),((3,4),5))",476.1,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,2,0.938367,2474077,778.09,"((1,2),((3,4),5))",476.7,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,3,0.758325,1818152,793.57,"((1,2),((3,4),5))",487.2,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,3,0.962355,2480691,797.98,"((1,2),((3,4),5))",502.8,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,2,0.761213,1814041,797.22,"((1,2),((3,4),5))",511.9,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,1,0.758492,1750651,797.65,"((1,2),(3,(4,5)))",533.7,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,6,0.944319,2136122,783.03,"((1,2),((3,4),5))",534.1,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,0,0.939065,2470740,778.67,"((1,2),((3,4),5))",549.8,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,0,0.761026,1741740,801.17,"((1,2),(3,(4,5)))",552.1,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,7,0.947862,2470591,785.97,"((1,2),((3,4),5))",613.2,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.0,8,0.988908,2783517,820.00,"(1,((2,(3,4)),5))",640.1,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,4,0.760010,1770416,798.31,"((1,2),((3,4),5))",381.2,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,5,0.760987,1788164,798.45,"((1,2),((3,4),5))",456.0,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,6,0.759105,1740969,798.94,"((1,2),(3,(4,5)))",456.7,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,9,0.759470,1753440,798.65,"((1,2),(3,(4,5)))",498.6,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,8,0.820457,2418163,832.61,"(1,((2,(3,4)),5))",559.7,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),0.3,7,0.815927,2521690,821.28,"(1,((2,(3,4)),5))",586.0,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,9,0.256658,1583522,1019.84,"(1,(2,(3,(4,5))))",344.9,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,4,0.236486,1459065,917.32,"(((1,2),3),(4,5))",371.6,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,2,0.231195,1426419,1389.20,"(1,((2,3),(4,5)))",397.7,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,0,0.261680,1614505,1040.29,"(1,(2,(3,(4,5))))",422.9,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,1,0.263639,1626594,1008.79,"(1,(2,(3,(4,5))))",455.4,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,3,0.263021,1622776,992.02,"(1,(2,(3,(4,5))))",471.9,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,8,0.210905,1301232,1282.38,"(1,((2,(3,4)),5))",489.8,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,5,0.263008,1622698,967.23,"(1,(2,(3,(4,5))))",503.5,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,6,0.270396,1668282,1062.91,"(1,(2,((3,4),5)))",513.3,True,0,3,
THR65,阈值,SEL 阈值,65 dB (锚点),1.0,7,0.268933,1659256,967.86,"(1,(2,(3,(4,5))))",533.2,True,0,3,
