iter,T,cumulative_acceptance_rate,F_current
0,150.0,0.0,1000000.0
1,142.5,1.0,1000000.0
2,135.375,1.0,1000000.0
3,128.60625,1.0,1000000.0
4,122.175937,1.0,1000000.0
5,116.067141,1.0,1000000.0
6,110.263784,1.0,1000000.0
7,104.750594,1.0,1000000.0
8,99.513065,1.0,1000000.0
9,94.537411,1.0,1000000.0
10,89.810541,1.0,1000000.0
11,85.320014,1.0,1000000.0
12,81.054013,1.0,1000000.0
13,77.001312,1.0,1000000.0
14,73.151247,1.0,1000000.0
15,69.493685,1.0,1000000.0
16,66.019,1.0,1000000.0
17,62.71805,1.0,1000000.0
18,59.582148,1.0,1000000.0
19,56.60304,1.0,1000000.0
20,53.772888,1.0,1000000.0
21,51.084244,1.0,1000000.0
22,48.530032,1.0,1000000.0
23,46.10353,1.0,1000000.0
24,43.798354,1.0,1000000.0
25,41.608436,1.0,1000000.0
26,39.528014,1.0,1000000.0
27,37.551613,1.0,1000000.0
28,35.674033,1.0,1000000.0
29,33.890331,1.0,1000000.0
30,32.195815,1.0,1000000.0
31,30.586024,1.0,1000000.0
32,29.056723,1.0,1000000.0
33,27.603887,1.0,1000000.0
34,26.223692,1.0,1000000.0
35,24.912508,1.0,1000000.0
36,23.666882,1.0,1000000.0
37,22.483538,1.0,1000000.0
38,21.359361,1.0,1000000.0
39,20.291393,1.0,1000000.0
40,19.276823,1.0,1000000.0
41,18.312982,1.0,1000000.0
42,17.397333,1.0,1000000.0
43,16.527467,1.0,1000000.0
44,15.701093,1.0,1000000.0
45,14.916039,1.0,1000000.0
46,14.170237,1.0,1000000.0
47,13.461725,1.0,1000000.0
48,12.788639,1.0,1000000.0
49,12.149207,1.0,1000000.0
50,11.541746,1.0,1000000.0
51,10.964659,1.0,1000000.0
52,10.416426,1.0,1000000.0
53,9.895605,1.0,1000000.0
54,9.400824,1.0,1000000.0
55,8.930783,1.0,1000000.0
56,8.484244,1.0,1000000.0
57,8.060032,1.0,1000000.0
58,7.65703,1.0,1000000.0
59,7.274179,1.0,1000000.0
60,6.91047,1.0,1000000.0
61,6.564946,1.0,1000000.0
62,6.236699,1.0,1000000.0
63,5.924864,1.0,1000000.0
64,5.628621,1.0,1000000.0
65,5.34719,1.0,1000000.0
66,5.07983,1.0,1000000.0
67,4.825839,1.0,1000000.0
68,4.584547,1.0,1000000.0
69,4.35532,1.0,1000000.0
70,4.137554,1.0,1000000.0
71,3.930676,1.0,1000000.0
72,3.734142,1.0,1000000.0
73,3.547435,1.0,1000000.0
74,3.370063,1.0,1000000.0
75,3.20156,1.0,1000000.0
76,3.041482,1.0,1000000.0
77,2.889408,1.0,1000000.0
78,2.744938,1.0,1000000.0
79,2.607691,1.0,1000000.0
80,2.477306,1.0,1000000.0
81,2.353441,1.0,1000000.0
82,2.235769,1.0,1000000.0
83,2.12398,1.0,1000000.0
84,2.017781,1.0,1000000.0
85,1.916892,1.0,1000000.0
86,1.821048,1.0,1000000.0
87,1.729995,1.0,1000000.0
88,1.643496,1.0,1000000.0
89,1.561321,1.0,1000000.0
90,1.483255,1.0,1000000.0
91,1.409092,1.0,1000000.0
92,1.338637,1.0,1000000.0
93,1.271706,1.0,1000000.0
94,1.20812,1.0,1000000.0
95,1.147714,1.0,1000000.0
96,1.090329,1.0,1000000.0
97,1.035812,1.0,1000000.0
98,0.984021,1.0,1000000.0
99,0.93482,1.0,1000000.0
100,0.888079,1.0,1000000.0
101,0.843675,1.0,1000000.0
102,0.801492,1.0,1000000.0
103,0.761417,1.0,1000000.0
104,0.723346,1.0,1000000.0
105,0.687179,1.0,1000000.0
106,0.65282,1.0,1000000.0
107,0.620179,1.0,1000000.0
108,0.58917,1.0,1000000.0
109,0.559712,1.0,1000000.0
110,0.531726,1.0,1000000.0
111,0.50514,1.0,1000000.0
112,0.479883,1.0,1000000.0
113,0.455889,1.0,1000000.0
114,0.433094,1.0,1000000.0
115,0.411439,1.0,1000000.0
116,0.390867,1.0,1000000.0
117,0.371324,1.0,1000000.0
118,0.352758,1.0,1000000.0
119,0.33512,1.0,1000000.0
120,0.318364,1.0,1000000.0
121,0.302446,1.0,1000000.0
122,0.287323,1.0,1000000.0
123,0.272957,1.0,0.676208
124,0.259309,1.0,0.689448
125,0.246344,1.0,0.656525
126,0.234027,1.0,0.65841
127,0.222325,1.0,0.664751
128,0.211209,1.0,0.665876
129,0.200649,1.0,0.667837
130,0.190616,1.0,0.66614
131,0.181085,1.0,0.666302
132,0.172031,1.0,0.631144
133,0.16343,1.0,0.630896
134,0.155258,1.0,0.631917
135,0.147495,1.0,0.633217
136,0.14012,1.0,0.630654
137,0.133114,0.992701,0.630654
138,0.126459,0.992754,0.647424
139,0.120136,0.985612,0.647424
140,0.114129,0.985714,0.653067
141,0.108423,0.985816,0.647204
142,0.103001,0.985915,0.651389
143,0.097851,0.979021,0.651389
144,0.092959,0.972222,0.651389
145,0.088311,0.972414,0.646922
146,0.083895,0.972603,0.667243
147,0.079701,0.972789,0.660818
148,0.075716,0.972973,0.656892
149,0.07193,0.973154,0.642294
150,0.068333,0.973333,0.695076
