iter,T,acceptance_rate,F_current,F_best
0,0.5,0.0,0.661798,0.661798
1,0.475,1.0,0.629034,0.629034
2,0.45125,1.0,0.629246,0.629034
3,0.428687,1.0,0.630666,0.629034
4,0.407253,1.0,0.632654,0.629034
5,0.38689,1.0,0.635294,0.629034
6,0.367546,1.0,0.654105,0.629034
7,0.349169,1.0,0.653411,0.629034
8,0.33171,1.0,0.649866,0.629034
9,0.315125,1.0,0.654075,0.629034
10,0.299368,0.9,0.654075,0.629034
11,0.2844,0.818182,0.654075,0.629034
12,0.27018,0.833333,0.651876,0.629034
13,0.256671,0.769231,0.651876,0.629034
14,0.243837,0.785714,0.65264,0.629034
15,0.231646,0.733333,0.65264,0.629034
16,0.220063,0.75,0.651184,0.629034
17,0.20906,0.764706,0.652515,0.629034
18,0.198607,0.777778,0.652244,0.629034
19,0.188677,0.789474,0.651766,0.629034
20,0.179243,0.8,0.652964,0.629034
21,0.170281,0.761905,0.652964,0.629034
22,0.161767,0.772727,0.653574,0.629034
23,0.153678,0.73913,0.653574,0.629034
24,0.145995,0.75,0.68603,0.629034
25,0.138695,0.76,0.68894,0.629034
26,0.13176,0.769231,0.688675,0.629034
27,0.125172,0.777778,0.680481,0.629034
28,0.118913,0.785714,0.688394,0.629034
29,0.112968,0.758621,0.688394,0.629034
30,0.107319,0.766667,0.684713,0.629034
31,0.101953,0.741935,0.684713,0.629034
32,0.096856,0.75,0.661542,0.629034
33,0.092013,0.757576,0.646396,0.629034
34,0.087412,0.764706,0.650897,0.629034
35,0.083042,0.771429,0.652009,0.629034
36,0.07889,0.777778,0.685548,0.629034
37,0.074945,0.756757,0.685548,0.629034
38,0.071198,0.763158,0.680026,0.629034
39,0.067638,0.74359,0.680026,0.629034
40,0.064256,0.75,0.676684,0.629034
41,0.061043,0.731707,0.676684,0.629034
42,0.057991,0.738095,0.640805,0.629034
43,0.055092,0.744186,0.639528,0.629034
44,0.052337,0.75,0.641665,0.629034
45,0.04972,0.755556,0.623904,0.623904
46,0.047234,0.73913,0.623904,0.623904
47,0.044872,0.744681,0.641557,0.623904
48,0.042629,0.75,0.642889,0.623904
49,0.040497,0.734694,0.642889,0.623904
50,0.038472,0.72,0.642889,0.623904
51,0.036549,0.72549,0.644043,0.623904
52,0.034721,0.730769,0.64742,0.623904
53,0.032985,0.735849,0.633159,0.623904
54,0.031336,0.740741,0.659111,0.623904
55,0.029769,0.727273,0.659111,0.623904
56,0.028281,0.732143,0.667588,0.623904
57,0.026867,0.736842,0.670038,0.623904
58,0.025523,0.724138,0.670038,0.623904
59,0.024247,0.728814,0.636494,0.623904
60,0.023035,0.716667,0.636494,0.623904
61,0.021883,0.704918,0.636494,0.623904
62,0.020789,0.693548,0.636494,0.623904
63,0.01975,0.68254,0.636494,0.623904
64,0.018762,0.6875,0.635643,0.623904
65,0.017824,0.676923,0.635643,0.623904
66,0.016933,0.666667,0.635643,0.623904
67,0.016086,0.656716,0.635643,0.623904
68,0.015282,0.647059,0.635643,0.623904
69,0.014518,0.652174,0.634428,0.623904
