w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.0,0,0.915527,2823371,759.15,54.239,8.447,"((1,2),((3,4),5))",66,0.440000,21,149,555.7,True,False,True
0.0,1,0.926141,2634835,767.96,57.294,7.386,"((1,2),(3,(4,5)))",62,0.413333,17,149,512.3,True,False,True
0.0,2,0.915936,2754991,759.49,55.347,8.406,"((1,2),((3,4),5))",50,0.333333,12,134,534.7,True,False,True
0.0,3,0.925299,2328959,767.26,62.252,7.470,"((1,2),(3,(4,5)))",45,0.300000,13,123,516.9,True,False,True
0.0,4,0.936224,2541154,776.32,58.813,6.378,"((1,2),((3,4),5))",50,0.333333,10,147,657.2,True,False,True
0.0,5,0.993260,2763168,823.61,55.214,0.674,"(1,((2,(3,4)),5))",21,0.140000,7,132,663.3,True,False,True
0.0,6,0.916101,2807598,759.63,54.494,8.390,"((1,2),((3,4),5))",45,0.300000,4,150,568.2,True,False,True
0.0,7,0.945524,2049792,784.03,66.777,5.448,"((1,2),(3,(4,5)))",54,0.360000,13,148,644.7,True,False,True
0.0,8,0.917224,2798922,760.56,54.635,8.278,"((1,2),((3,4),5))",40,0.266667,7,144,574.9,True,False,True
0.0,9,0.916040,2756066,759.58,55.329,8.396,"((1,2),((3,4),5))",51,0.340000,12,105,492.3,True,False,True
0.0,10,0.914099,2775449,757.97,55.015,8.590,"((1,2),((3,4),5))",64,0.426667,17,143,538.0,True,False,True
0.0,11,0.941224,2034044,780.46,67.032,5.878,"((1,2),(3,(4,5)))",54,0.360000,16,97,650.4,True,False,True
0.0,12,0.916637,2757719,760.08,55.303,8.336,"((1,2),((3,4),5))",56,0.373333,18,149,525.3,True,False,True
0.0,13,0.915957,2754991,759.51,55.347,8.404,"((1,2),((3,4),5))",62,0.413333,11,137,626.1,True,False,True
0.0,14,0.915527,2823371,759.15,54.239,8.447,"((1,2),((3,4),5))",52,0.346667,12,127,463.7,True,False,True
0.0,15,0.916151,2771593,759.67,55.078,8.385,"((1,2),((3,4),5))",57,0.380000,16,125,416.8,True,False,True
0.0,16,0.941554,2060372,780.74,66.605,5.845,"((1,2),(3,(4,5)))",52,0.346667,14,150,723.8,True,False,True
0.0,17,0.977866,1830518,810.85,70.331,2.213,"((1,2),((3,4),5))",42,0.280000,13,9,579.0,True,False,True
0.0,18,0.916091,2755628,759.62,55.337,8.391,"((1,2),((3,4),5))",56,0.373333,16,144,485.7,True,False,True
0.0,19,0.923853,2533290,766.06,58.940,7.615,"((1,2),(3,(4,5)))",55,0.366667,16,110,522.9,True,False,True
0.1,0,0.869148,2742452,759.82,55.550,8.367,"((1,2),((3,4),5))",61,0.406667,22,148,566.0,True,False,True
0.1,1,0.869067,2178989,768.16,64.683,7.361,"((1,2),(3,(4,5)))",59,0.393333,16,149,508.9,True,False,True
0.1,2,0.869895,2776981,759.99,54.991,8.346,"((1,2),((3,4),5))",62,0.413333,20,134,537.5,True,False,True
0.1,3,0.871864,2449236,766.70,60.303,7.537,"((1,2),(3,(4,5)))",58,0.386667,18,137,565.5,True,False,True
0.1,4,0.902479,3015686,786.45,51.122,5.155,"(1,((2,(3,4)),5))",44,0.293333,13,147,668.4,True,False,True
0.1,5,0.912426,2856277,798.00,53.705,3.763,"(1,((2,(3,4)),5))",22,0.146667,7,124,716.2,True,False,True
0.1,6,0.916323,2831517,801.96,54.107,3.286,"(1,((2,(3,4)),5))",27,0.180000,5,120,718.2,True,False,True
0.1,7,0.933591,2736159,819.29,55.652,1.195,"(1,(((2,3),4),5))",42,0.280000,15,124,688.8,True,False,True
0.1,8,0.885642,2025130,785.73,67.177,5.242,"((1,2),((3,4),5))",29,0.193333,7,150,361.6,True,False,True
0.1,9,0.872688,2781690,762.50,54.914,8.044,"((1,2),((3,4),5))",63,0.420000,20,133,502.4,True,False,True
0.1,10,0.959475,2832709,841.70,54.087,-1.507,"(1,(((2,3),4),5))",61,0.406667,21,124,703.2,True,False,True
0.1,11,0.869206,2161751,768.55,64.962,7.315,"((1,2),(3,(4,5)))",53,0.353333,20,142,499.2,True,False,True
0.1,12,0.871183,2086406,771.49,66.183,6.959,"((1,2),(3,(4,5)))",54,0.360000,15,144,468.0,True,False,True
0.1,13,0.867668,2751422,758.32,55.405,8.548,"((1,2),((3,4),5))",52,0.346667,11,137,467.5,True,False,True
0.1,14,0.868961,2160797,768.34,64.978,7.340,"((1,2),(3,(4,5)))",55,0.366667,24,147,443.1,True,False,True
0.1,15,0.869782,2764358,760.08,55.195,8.336,"((1,2),((3,4),5))",53,0.353333,16,121,440.2,True,False,True
0.1,16,0.879494,2018103,780.17,67.290,5.913,"((1,2),(3,(4,5)))",51,0.340000,15,145,660.9,True,False,True
0.1,17,0.909749,1830518,810.85,70.331,2.213,"((1,2),((3,4),5))",42,0.280000,13,9,520.4,True,False,True
0.1,18,0.871761,2640538,763.75,57.202,7.893,"((1,2),((3,4),5))",53,0.353333,17,60,538.1,True,False,True
0.1,19,0.867604,2744015,758.38,55.525,8.541,"((1,2),((3,4),5))",66,0.440000,19,147,422.4,True,False,True
0.2,0,0.818846,1855848,786.38,69.920,5.164,"((1,2),(3,(4,5)))",67,0.446667,19,141,540.3,True,False,True
