w_N,n_valid,F_median,F_mean,F_std,F_IQR,F_min,F_max,N_median,N_mean,N_std,N_IQR,N_min,N_max,L_median,L_mean,L_std,L_IQR,L_min,L_max,R_N_median,R_L_median,R_N_best,R_L_best,topology_modal,runtime_median_s
0.0,20,0.916930,0.929312,0.021860,0.021454,0.914099,0.993260,2755310,2567792,321099,290350,1830518,2823371,760.32,770.59,18.13,17.79,757.97,823.61,55.34,8.31,54.24,0.67,"((1,2),((3,4),5))",547
0.1,20,0.871812,0.886900,0.026440,0.035105,0.867604,0.959475,2739306,2519237,362823,616646,1830518,3015686,768.44,779.51,23.56,27.44,758.32,841.70,55.60,7.33,51.12,-1.51,"((1,2),((3,4),5))",529
0.2,20,0.820653,0.826656,0.017774,0.009707,0.811324,0.876529,2083147,2139586,321289,388555,1762905,2782429,781.11,784.94,19.23,15.55,758.32,832.02,66.24,5.80,54.90,-0.34,"((1,2),(3,(4,5)))",493
0.3,20,0.751579,0.757114,0.013411,0.007032,0.748533,0.797536,1811990,1824617,76036,13220,1773855,2141332,785.00,791.76,16.82,9.19,772.47,842.35,70.63,5.33,65.29,-1.59,"((1,2),(3,(4,5)))",528
0.4,20,0.689747,0.693661,0.014520,0.006549,0.683918,0.742864,1801092,1817546,72029,20502,1771172,2110960,789.61,795.79,19.46,9.31,783.52,862.96,70.81,4.77,65.79,-4.07,"((1,2),(3,(4,5)))",601
0.5,20,0.623102,0.623992,0.005235,0.004254,0.618578,0.638550,1779982,1757304,98112,34518,1464428,1841474,793.63,798.65,21.44,9.66,782.15,862.16,71.15,4.29,70.15,-3.97,"((1,2),(3,(4,5)))",594
0.6,20,0.555607,0.557008,0.006490,0.003479,0.553103,0.583588,1772194,1772758,19455,20851,1734046,1812329,793.36,797.30,15.62,7.28,784.05,860.20,71.28,4.32,70.63,-3.74,"((1,2),(3,(4,5)))",573
0.7,20,0.487223,0.488001,0.005915,0.003326,0.477871,0.508625,1756724,1715892,92523,76889,1462455,1789184,800.90,810.74,23.66,22.77,790.58,862.62,71.53,3.41,71.00,-4.03,"((1,2),(3,(4,5)))",513
0.8,20,0.420350,0.418526,0.008701,0.005789,0.397457,0.438380,1715592,1673902,134079,77277,1281284,1812270,814.37,835.34,66.05,27.50,791.64,1091.73,72.19,1.79,70.63,-31.66,"((1,2),(3,(4,5)))",530
0.9,20,0.342212,0.339209,0.019745,0.024346,0.313248,0.395360,1634252,1590238,136814,195088,1309729,1804941,877.12,889.21,76.35,38.32,804.83,1095.12,73.51,-5.78,70.75,-32.07,"(1,(2,(3,(4,5))))",565
1.0,20,0.263579,0.255747,0.014380,0.013458,0.227641,0.275890,1626223,1577896,88721,83033,1404493,1702175,981.21,980.85,64.82,82.79,880.05,1106.69,73.64,-18.33,72.41,-33.47,"(1,(2,(3,(4,5))))",459
